linkedin_slug,linkedin_url,company_name,tier,tier_label,primary_keyword,size_bracket,description_snippet,discovery_query,page_found,first_seen_at,resolved_domain,resolve_status,matching_people_count
community-health-center-of-buffalo,https://www.linkedin.com/company/community-health-center-of-buffalo,"Community Health Center of Buffalo, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"Community Health Center of Buffalo, Inc. | 1434 followers on ... 51-200 employees. Headquarters: Buffalo, New York. Type: Nonprofit.","site:linkedin.com/company/ ""community health center"" ""51-200""",2,2026-04-17T07:51:44Z,https://communityhealthcenter.org,title_mismatch,1
community-health-center-of-central-missouri,https://www.linkedin.com/company/community-health-center-of-central-missouri,Community Health Center of Central Missouri,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,Website: http://www.chccmo.org/. External link for Community Health Center of Central Missouri ; Industry: Hospitals and Health Care ; Company size: 51-200 ...,"site:linkedin.com/company/ ""community health center"" ""51-200""",1,2026-04-17T07:51:43Z,https://communityhealthcenter.org,wrong_entity,1
chcvt,https://www.linkedin.com/company/chcvt,Community Health Centers,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"As your Federally Qualified Health Center, our goal is to be the cornerstone ... 201-500 employees. Headquarters: Burlington. Type: Nonprofit. Founded: 1971 ...","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",20,2026-04-17T07:54:14Z,https://www.communityhealthcenters.org,title_mismatch,1
chsiclinics,https://www.linkedin.com/company/chsiclinics,Community Health Service Inc.,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"51-200 employees ... Similar pages. Open Cities Health Center. Hospitals and Health Care. St Paul, Minnesota. Federally Qualified Health Center Unified Health ...","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",20,2026-04-17T07:53:36Z,https://communityhealthservice.org,parking,1
communityhealthsystems-california,https://www.linkedin.com/company/communityhealthsystems-california,"Community Health Systems, Inc. (FQHC)",1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"http://www.chsica.org. Community Health Systems, Inc. (FQHC)的外部链接. 所属行业: 医院和医疗保健. 规模: 201-500 人. 总部: Riverside，CA. 类型: 非营利机构. 创立 ...","site:linkedin.com/company/ ""FQHC"" ""201-500""",1,2026-04-17T07:55:40Z,https://www.communityhealthsystem.org,title_mismatch,1
community-mental-health-affiliates-inc-,https://www.linkedin.com/company/community-mental-health-affiliates-inc-,"Community Mental Health Affiliates, Inc. (CMHA)",1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"201-500 employés. Siège social: New Britain, CT. Type: Société civile/Société ... Community Health Center. Hôpitaux et services de santé. Middletown, CT · The ...","site:linkedin.com/company/ ""community health center"" ""201-500""",5,2026-04-17T07:52:29Z,https://communitymentalhealth.org,parking,1
dc-primary-care-association,https://www.linkedin.com/company/dc-primary-care-association,DC Primary Care Association,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,11-50 名員工. 總部: WashingtonDistrict of Columbia. 類型: 非營利組織. 創立時間 ... Community Health Center movement: https://lnkd.in/gfqCUNNB #DCPCA ...,"site:linkedin.com/company/ ""community health center"" ""11-50""",8,2026-04-17T07:51:11Z,https://dcprimarycare.com,ok,1
ehchs,https://www.linkedin.com/company/ehchs,"East Harlem Council for Human Services, Inc.",1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,"51-200 employees. Headquarters: New York, New York. Type: Nonprofit. Founded: 1965 ... Any reduction in FQHC funding would have immediate and lasting consequences ...","site:linkedin.com/company/ ""FQHC"" ""51-200""",12,2026-04-17T07:55:14Z,https://east-harlem.com,ok,1
family-health-care-centers-of-greater-los-angeles,https://www.linkedin.com/company/family-health-care-centers-of-greater-los-angeles,Family Health Care Centers of Greater Los Angeles,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,직원 51-200명. 본사: CA Bell Gardens. 유형: 비영리. 위치. 기본. 6501 Garfield Ave. US CA Bell Gardens 90201. 길 보기. Family Health Care Centers of Greater Los ...,"site:linkedin.com/company/ ""community health center"" ""51-200""",12,2026-04-17T07:51:55Z,https://www.hugedomains.com/domain_profile.cfm?d=family-health-care.com,parking,1
familyhealthcenterofmarshfieldinc,https://www.linkedin.com/company/familyhealthcenterofmarshfieldinc,Family Health Center,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"We are proud to be a Federally Qualified Health Center (FQHC) with 10 ... 201-500 employees. Headquarters: Marshfield, Wisconsin. Type: Nonprofit. Founded ...","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",4,2026-04-17T07:53:54Z,https://familyhealthcenter.org,ok,1
first-care-clinic,https://www.linkedin.com/company/first-care-clinic,First Care Clinic,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,Nov-50,"We are a 501(c)(3) Nonprofit Federally Qualified Health Center providing healthcare services for people of all ages, regardless of the patient's ability to ...","site:linkedin.com/company/ ""federally qualified health center"" ""11-50""",1,2026-04-17T07:53:03Z,https://www.first-care-clinic.com,ok,1
garfield-health-center,https://www.linkedin.com/company/garfield-health-center,GARFIELD HEALTH CENTER,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"51–200 ansatte. Hovedkontor: MONTEREY PARK, California. Type: Ideell organisasjon. Spesialiteter: Family Practice, Pediatrics, Gynecology, Dentistry, ...","site:linkedin.com/company/ ""community health center"" ""51-200""",30,2026-04-17T07:52:23Z,https://www.garfieldhealthcenter.org,title_mismatch,1
generations-family-health-center,https://www.linkedin.com/company/generations-family-health-center,Generations Family Health Center,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"(Generations) is a private, not-for-profit, regional Federally Qualified Health Center ... 51-200 employees. Headquarters: Willimantic ...","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",17,2026-04-17T07:53:32Z,https://generationsfamily.com,parking,1
gfh,https://www.linkedin.com/company/gfh,Genesis Family Health,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,직원 51-200명. 본사: Kansas Garden City. 유형: 비영리. 설립: 1974. 전문 분야: Dental ... 비슷한 페이지. HIGH PLAINS COMMUNITY HEALTH CENTER. 병원·보건. Colorado ...,"site:linkedin.com/company/ ""community health center"" ""51-200""",9,2026-04-17T07:51:52Z,https://www.genesisfamilyhealth.org,title_mismatch,1
glacier-community-health-center,https://www.linkedin.com/company/glacier-community-health-center,Glacier Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"Lien externe pour Glacier Community Health Center. Secteur: Hôpitaux et services de santé. Taille de l'entreprise: 11-50 employés. Siège social: Cut Bank, MT.","site:linkedin.com/company/ ""community health center"" ""11-50""",21,2026-04-17T07:51:27Z,,none,1
healthy-community-health-centers,https://www.linkedin.com/company/healthy-community-health-centers,HCHC,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"51-200 employees. Headquarters: Harisonburg, VA. Type: Nonprofit. Founded: 2007 ... federally qualified health center, is seeking a strategic CFO to partner ...","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",19,2026-04-17T07:53:35Z,https://www.greatriverhealth.org/locations/henry-county-health-center,title_mismatch,1
healingcommunityhealth,https://www.linkedin.com/company/healingcommunityhealth,HEALing Community Health,1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"... (FQHC) with several locations in the metro Atlanta area, we provide quality ... 11-50 employees. Headquarters: Atlanta, Georgia. Type: Nonprofit. Founded ...","site:linkedin.com/company/ ""FQHC"" ""11-50""",21,2026-04-17T07:54:52Z,https://healingcommunity.org,parking,1
hard-rock-hotel-&-casino-sioux-city,https://www.linkedin.com/company/hard-rock-hotel-&-casino-sioux-city,Hard Rock Hotel & Casino Sioux City,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"201-500 עובדים. משרדים ראשיים: Sioux City, IA. סוג: בבעלות פרטית. התמחויות ... Community Health Center and Data Business Equipment, Inc. אין תיאור טקסט ...","site:linkedin.com/company/ ""community health center"" ""201-500""",24,2026-04-17T07:52:54Z,http://hard-rock-hotel.com,title_mismatch,1
health-federation-of-philadelphia,https://www.linkedin.com/company/health-federation-of-philadelphia,Health Federation of Philadelphia,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,51-200 人. 总部: Philadelphia，PA. 类型: 非营利机构. 创立: 1983. 领域 ... (Federally Qualified Health Center) status! This designation marks an ...,"site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",10,2026-04-17T07:53:24Z,https://healthfederation.org,ok,1
health-partnership-clinic-kc,https://www.linkedin.com/company/health-partnership-clinic-kc,Health Partnership Clinic,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"社員 51 - 200名. 本社: Olathe、KS. 種類: 非営利団体. 創立: 1992. 専門分野 ... federally qualified health center like HPC, where quality care is ...","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",27,2026-04-17T07:53:47Z,https://healthpartnership.org,parking,1
healthworks-for-northern-virginia,https://www.linkedin.com/company/healthworks-for-northern-virginia,HealthWorks for Northern Virginia,1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,"51-200 employees. Headquarters: Leesburg, VA. Type: Nonprofit ... (FQHC) serving the medically underserved and uninsured populations of Northern Virginia.","site:linkedin.com/company/ ""FQHC"" ""51-200""",8,2026-04-17T07:55:10Z,,none,1
hills-&-dales-general-hospital,https://www.linkedin.com/company/hills-&-dales-general-hospital,Hills & Dales General Hospital,1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,51-200 pekerja. Jenis: Kebajikan. Lokasi. Utama. Dapatkan arah. Pekerja di Hills ... Laman yang serupa. Optima FQHC Solutions. Hospital dan Penjagaan Kesihatan.,"site:linkedin.com/company/ ""FQHC"" ""51-200""",15,2026-04-17T07:55:18Z,,none,1
interior-community-health-center,https://www.linkedin.com/company/interior-community-health-center,INTERIOR COMMUNITY HEALTH CENTER,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,外部INTERIOR COMMUNITY HEALTH CENTER連結. 產業: 醫療保健. 公司規模: 11-50 名員工. 總部: FAIRBANKSAlaska. 類型: 非營利組織. 創立時間: 1995. 地點. 主要. 1606 23RD ...,"site:linkedin.com/company/ ""community health center"" ""11-50""",3,2026-04-17T07:51:04Z,https://www.interiorcommunityhealth.org,ok,1
imperial-beach-community-clinic,https://www.linkedin.com/company/imperial-beach-community-clinic,Imperial Beach Community Clinic,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"51-200 employés. Siège social: Imperial Beach, CA. Type: Non lucratif. Fondée ... Pages similaires. San Diego Community Health Center. Hôpitaux et services de ...","site:linkedin.com/company/ ""community health center"" ""51-200""",12,2026-04-17T07:51:55Z,https://imperialbeach.org,parking,1
indiana-health-centers,https://www.linkedin.com/company/indiana-health-centers,"Indiana Health Centers, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"201-500 employees. Headquarters: Indianapolis, IN. Type: Nonprofit. Founded: 1977 ... HealthLinc Community Health Center. Hospitals and Health Care. Valparaiso ...","site:linkedin.com/company/ ""community health center"" ""201-500""",11,2026-04-17T07:52:36Z,https://electramet.com,title_mismatch,1
intercare-community-health,https://www.linkedin.com/company/intercare-community-health,InterCare Community Health Network,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"... federally qualified health center dedicated to improving individual health ... 201-500 medarbejdere. Hovedkvarter: Bangor, Michigan. Type: Nonprofit.","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",11,2026-04-17T07:54:03Z,,none,1
isaiah-house-treatment-center,https://www.linkedin.com/company/isaiah-house-treatment-center,Isaiah House Treatment Center,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"... Community Health Center – Lexington More Than Treatment: A Path to a New ... 201-500 empleyado. Headquarters: Harrodsburg, Kentucky. Uri: Nonprofit.","site:linkedin.com/company/ ""community health center"" ""201-500""",29,2026-04-17T07:53:00Z,https://isaiah-house.org,ok,1
island-health-care-community-health-center,https://www.linkedin.com/company/island-health-care-community-health-center,Island Health Care,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,A Federally Qualified Community Health Center serving the island of Martha's Vineyard. ... 11-50 employees. Headquarters: Edgartown ...,"site:linkedin.com/company/ ""community health center"" ""11-50""",19,2026-04-17T07:51:24Z,https://islandhealthcare.org,parking,1
jefferson-comprehensive-health,https://www.linkedin.com/company/jefferson-comprehensive-health,Jefferson Comprehensive Health,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"11 - 50 çalışan. Genel Merkez: Fayette, Mississippi. Konum. 225 Community Dr. Fayette, Mississippi 39069-0000, US. Yol tarifi al. Jefferson Comprehensive Health ...","site:linkedin.com/company/ ""community health center"" ""11-50""",14,2026-04-17T07:51:18Z,https://www.jch.org,wrong_entity,1
jessie-trice-community-health-center-inc.,https://www.linkedin.com/company/jessie-trice-community-health-center-inc.,"Jessie Trice Community Health System, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"... Community Health Center, Inc. is a Florida 501 (c) 3, not ... 201-500 pekerja. Ibu pejabat: Miami, Florida. Jenis: Kebajikan. Ditubuhkan: 1967.","site:linkedin.com/company/ ""community health center"" ""201-500""",2,2026-04-17T07:52:26Z,,none,1
juniper-health-inc,https://www.linkedin.com/company/juniper-health-inc,"Juniper Health, Inc.",1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"... Federally Qualified Health Center with locations in Breathitt, Elliott, Lee ... 51–200 Beschäftigte. Hauptsitz: Beattyville, Kentucky. Art: Nonprofit.","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",9,2026-04-17T07:53:23Z,https://juniperhealth.org,needs_review,1
kccare,https://www.linkedin.com/company/kccare,KC CARE Health Center,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"One of the largest charitable community health clinics in the country, KC CARE became a Federally Qualified Health Center in 2015. ... 201-500 employees.","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",14,2026-04-17T07:54:07Z,http://www.kc-care.com,parking,1
kaniksu-community-health,https://www.linkedin.com/company/kaniksu-community-health,Kaniksu Community Health,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"... Community Health Center whose mission is to provide high quality ... 51-200 employees. Headquarters: Ponderay, Idaho. Type: Nonprofit.","site:linkedin.com/company/ ""community health center"" ""51-200""",2,2026-04-17T07:51:44Z,https://www.kch.org,title_mismatch,1
kedren-community-health-center-inc.,https://www.linkedin.com/company/kedren-community-health-center-inc.,"Kedren Community Health Center, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"外部Kedren Community Health Center, Inc.連結. 產業: 醫療保健. 公司規模: 201-500 名員工. 總部: Los AngelesCalifornia. 類型: 非營利組織. 創立時間: 1965. 專長 ...","site:linkedin.com/company/ ""community health center"" ""201-500""",28,2026-04-17T07:52:59Z,,none,1
kchc,https://www.linkedin.com/company/kchc,"Kinston Community Health Center, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"Kinston Community Health Center, Inc. | 215 followers on LinkedIn. A ... 51-200 employees. Headquarters: Kinston, NC. Type: Nonprofit. Founded: 1993.","site:linkedin.com/company/ ""community health center"" ""51-200""",6,2026-04-17T07:51:48Z,,none,1
koolauloa-health-center,https://www.linkedin.com/company/koolauloa-health-center,Ko`olauloa Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,The Ko`olauloa Health Center (KHC) is a highly-regarded comprehensive community health center serving O`ahu's east and north shore communities. ... 11-50 pekerja.,"site:linkedin.com/company/ ""community health center"" ""11-50""",22,2026-04-17T07:51:28Z,https://koolauloa.org,parking,1
kokua-kalihi-valley-dev,https://www.linkedin.com/company/kokua-kalihi-valley-dev,Kokua Kalihi Valley,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,Kokua Kalihi Valley Comprehensive Family Services is a Federally Qualified Health Center with 200 personnel and nine sites. ... 51–200 anställda.,"site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",22,2026-04-17T07:53:40Z,http://kkv.org,wrong_entity,1
lakeshore-community-health-care,https://www.linkedin.com/company/lakeshore-community-health-care,Lakeshore Community Health Care,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"... community health center, we focus on preventive, holistic, and patient ... 51-200 employees. Headquarters: Sheboygan, Wisconsin. Type: Nonprofit. Founded ...","site:linkedin.com/company/ ""community health center"" ""51-200""",24,2026-04-17T07:52:11Z,https://lakeshorecommunity.org,title_mismatch,1
lamprey-health-care,https://www.linkedin.com/company/lamprey-health-care,Lamprey Health Care,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"Lamprey Health Care is a Community Health Center with three locations in Southern New Hampshire. ... 51–200 Beschäftigte. Hauptsitz: Newmarket, New Hampshire.","site:linkedin.com/company/ ""community health center"" ""51-200""",3,2026-04-17T07:51:45Z,https://lampreyhealth.org,ok,1
lee-county-cooperative-clinic,https://www.linkedin.com/company/lee-county-cooperative-clinic,Lee County Cooperative Clinic dba Olly Neal Community Health ...,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"Lee County Cooperative Clinic dba Olly Neal Community Health Center | 190 abonnés sur LinkedIn ... 11-50 employés. Siège social: Marianna, Arkansas. Type: Non ...","site:linkedin.com/company/ ""community health center"" ""11-50""",1,2026-04-17T07:51:02Z,https://lee-county.net,title_mismatch,1
