linkedin_slug,linkedin_url,company_name,tier,tier_label,primary_keyword,size_bracket,description_snippet,discovery_query,page_found,first_seen_at,resolved_domain,resolve_status,matching_people_count
christopher-rural-health-planning-corp-,https://www.linkedin.com/company/christopher-rural-health-planning-corp-,Christopher Rural Health Planning Corporation,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,201-500 名員工. 總部: ChristopherIL. 類型: 非營利組織. 創立時間: 1979. 專長: Community Health Center、Dental Clinic、Medical Clinic、Behavioral Health、 ...,"site:linkedin.com/company/ ""community health center"" ""201-500""",13,2026-04-17T07:52:38Z,,none,1
wirt-county-health-services-association-inc,https://www.linkedin.com/company/wirt-county-health-services-association-inc,Coplin Health Systems,1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,"... (FQHC). As an FQHC, Coplin Health Systems offers a variety of healthcare ... 51-200 employees. Headquarters: Elizabeth, WV. Type: Nonprofit. Founded: 1978.","site:linkedin.com/company/ ""FQHC"" ""51-200""",11,2026-04-17T07:55:13Z,https://coplinhealth.com,ok,1
crossing-healthcare,https://www.linkedin.com/company/crossing-healthcare,Crossing Healthcare,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"51 - 200 çalışan. Genel Merkez: Decatur, Illinois. Türü: Kâr Amacı Gütmeyen ... Christian Community Health Center. Hastaneler ve Sağlık. Chicago, Illinois ...","site:linkedin.com/company/ ""community health center"" ""51-200""",7,2026-04-17T07:51:50Z,https://www.crossinghealthcare.org,ok,1
custom-data-services-inc,https://www.linkedin.com/company/custom-data-services-inc,"Custom Data Services, Inc",1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"11-50 employees. Headquarters: Merrillville, IN. Type: Privately Held ... FQHC services. Claims for non-behavioral health telehealth and Hospital Care ...","site:linkedin.com/company/ ""FQHC"" ""11-50""",13,2026-04-17T07:54:41Z,https://www.afternic.com/forsale/customdataservices.com?utm_source=tdfs&utm_medium=sn_affiliate_click&utm_campaign=tdfs_godaddy_dls&traffic_type=tdfs&traffic_id=godaddy_dls,title_mismatch,1
emerald-a-r-systems,https://www.linkedin.com/company/emerald-a-r-systems,Emerald AR Systems,1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,직원 51-200명. 본사: AZ Phoenix. 유형: 비상장기업. 설립: 2007. 전문 분야: Self-Pay ... 관련 페이지. FQHC. 금융 서비스. Arizona Phoenix · Emerald EBO. 비슷한 ...,"site:linkedin.com/company/ ""FQHC"" ""51-200""",10,2026-04-17T07:55:12Z,https://www.emeraldar.com,title_mismatch,1
equiscript,https://www.linkedin.com/company/equiscript,"Equiscript, LLC",1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,"51-200 employees. Headquarters: Charleston, SC. Type: Privately Held. Founded ... #FQHC #340B #340BProgram #CoveredEntity. No alternative text description ...","site:linkedin.com/company/ ""FQHC"" ""51-200""",24,2026-04-17T07:55:30Z,https://www.equiscript.com/home,needs_review,1
family-health-care,https://www.linkedin.com/company/family-health-care,Family Health Care,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"201-500 employees. Headquarters: Baldwin, Michigan. Type: Nonprofit. Founded: 1967 ... FQHC #Michigan. No alternative text description for this image. View ...","site:linkedin.com/company/ ""FQHC"" ""201-500""",22,2026-04-17T07:56:05Z,https://www.hugedomains.com/domain_profile.cfm?d=family-health-care.com,parking,1
georgia-primary-care-association,https://www.linkedin.com/company/georgia-primary-care-association,Georgia Primary Care Association,1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"... FQHC organizations with a total of 330 clinics ... Our team collaborates with FQHC members to ... 11-50 employés. Siège social: Decatur, GA. Type ...","site:linkedin.com/company/ ""FQHC"" ""11-50""",2,2026-04-17T07:54:28Z,https://georgiaprimary.com,ok,1
herald-christian-health-center,https://www.linkedin.com/company/herald-christian-health-center,Herald Christian Health Center,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"... Federally Qualified Health Center (FQHC), we have been proven to provide the ... 51-200 employés. Siège social: ROSEMEAD, California. Type: Non lucratif.","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",3,2026-04-17T07:53:16Z,,none,1
horizon-health-care-inc,https://www.linkedin.com/company/horizon-health-care-inc,Horizon Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"... Federally Qualified Health Center (FQHC) that serves the medical, dental and ... 201-500 employees. Headquarters: Howard, SD. Type: Nonprofit. Founded: 1978.","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",17,2026-04-17T07:54:10Z,https://horizon-health.org,needs_review,1
the-jane-pauley-community-health-center-inc-,https://www.linkedin.com/company/the-jane-pauley-community-health-center-inc-,Jane Pauley Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"... Community Health Center (JPCHC) is more than just a job. It's a ... 201-500 employees. Headquarters: Indianapolis, IN. Type: Nonprofit.","site:linkedin.com/company/ ""community health center"" ""201-500""",1,2026-04-17T07:52:25Z,https://janepauley.com,parking,1
lawndale-christian-health-center,https://www.linkedin.com/company/lawndale-christian-health-center,Lawndale Christian Health Center,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,201-500 人. 总部: Chicago，Illinois. 类型: 非营利机构. 创立: 1984. 领域: Internal Medicine、OB / Prenatal Care、Pediatric Health和Family Practice. 地点. 主要.,"site:linkedin.com/company/ ""FQHC"" ""201-500""",5,2026-04-17T07:55:45Z,,none,1
mallory-community-health-center-lexington-ms,https://www.linkedin.com/company/mallory-community-health-center-lexington-ms,Mallory Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"External link for Mallory Community Health Center. Industry: Health and Human Services. Company size: 51-200 employees. Headquarters: Lexington, Mississippi.","site:linkedin.com/company/ ""community health center"" ""51-200""",2,2026-04-17T07:51:44Z,,none,1
mountain-health-&-community-services,https://www.linkedin.com/company/mountain-health-&-community-services,"Mountain Health & Community Services, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"This agency is now San Ysidro Health--Mountain Health & Community Services, Inc. (MHCS) is a private, non-profit community health center organization that ...","site:linkedin.com/company/ ""community health center"" ""51-200""",2,2026-04-17T07:51:44Z,https://mountain-health.com,parking,1
oak-orchard-health-center,https://www.linkedin.com/company/oak-orchard-health-center,Oak Orchard Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"Oak Orchard Health Center | 637 followers on LinkedIn. We are a community health center that provides primary, pediatric ... 201-500 employees. Headquarters ...","site:linkedin.com/company/ ""community health center"" ""201-500""",5,2026-04-17T07:52:29Z,https://oakorchardhealth.org,ok,1
palmsmedicalgroup,https://www.linkedin.com/company/palmsmedicalgroup,PALMS MEDICAL GROUP,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"201-500 employees. Headquarters: High Springs, Florida. Type: Nonprofit. Founded: 1971. Specialties: Pharmacy , Non Profit, FQHC, Dental , Xray, Medical Clinic ...","site:linkedin.com/company/ ""FQHC"" ""201-500""",23,2026-04-17T07:56:07Z,https://palmsmg.org,ok,1
parktreechc,https://www.linkedin.com/company/parktreechc,ParkTree Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,ParkTree Community Health Center | LinkedIn 팔로워 200명 | We strive to ... 직원 51-200명. 본사: California Pomona. 유형: 비영리. 설립: 1995. 위치. 기본. 1450 E ...,"site:linkedin.com/company/ ""community health center"" ""51-200""",9,2026-04-17T07:51:52Z,https://parktreecommunityhealthcenter.org,title_mismatch,1
providertech-li,https://www.linkedin.com/company/providertech-li,Providertech,1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"... (FQHC) to more efficiently manage chronic care patients and promote wellness ... 11-50 employees. Headquarters: Phoenix, AZ. Type: Privately Held. Locations.","site:linkedin.com/company/ ""FQHC"" ""11-50""",8,2026-04-17T07:54:35Z,https://providertech.org,parking,1
richland-parish-hospital,https://www.linkedin.com/company/richland-parish-hospital,Richland Parish Hospital,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,Richland Parish Hospital | LinkedIn 팔로워 152명 | Delhi Hospital │ Delhi Rural Health Clinic │ Delhi Community Health Center ... 직원 201-500명. 본사 ...,"site:linkedin.com/company/ ""community health center"" ""201-500""",6,2026-04-17T07:52:30Z,https://richlandparishhospital.com,parking,1
sfcommunityhealth,https://www.linkedin.com/company/sfcommunityhealth,San Francisco Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,External link for San Francisco Community Health Center. Industry: Hospitals and Health Care. Company size: 51-200 employees. Headquarters: San Francisco ...,"site:linkedin.com/company/ ""community health center"" ""51-200""",4,2026-04-17T07:51:46Z,https://san-francisco.org,parking,1
schenectady-family-health-services,https://www.linkedin.com/company/schenectady-family-health-services,Schenectady Family Health Services,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,51-200 עובדים. סוג: Nonprofit. מיקומים. הראשי. קבלת הוראות הגעה. דפים דומים. Beacon Christian Community Health Center. Hospitals and Health Care. ‏Staten Island ...,"site:linkedin.com/company/ ""community health center"" ""51-200""",23,2026-04-17T07:52:10Z,,none,1
shenandoah-medical-center,https://www.linkedin.com/company/shenandoah-medical-center,Shenandoah Medical Center,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,직원 201-500명. 본사: IA Shenandoah. 유형: 비영리. 설립: 1918. 전문 분야: Family ... River Hills Community Health Center. 병원·보건. 더보기 더보기 취소. LinkedIn ...,"site:linkedin.com/company/ ""community health center"" ""201-500""",12,2026-04-17T07:52:37Z,https://shenandoahmedical.com,needs_review,1
spectrum-health-services,https://www.linkedin.com/company/spectrum-health-services,"Spectrum Health Services, Inc.",1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"We are a Federally Qualified Health Center (FQHC). Our model of integrated ... 51-200 employees. Headquarters: Philadelphia, Pennsylvania. Type: Nonprofit.","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",20,2026-04-17T07:53:36Z,https://spectrumhealthservices.com,wrong_entity,1
tri-area-community-health,https://www.linkedin.com/company/tri-area-community-health,Tri-Area Community Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"... Federally Qualified Health Center and a Recognized Health Quality Leader. We ... 51-200 medarbejdere. Hovedkvarter: Laurel Fork, Virginia. Type: Nonprofit.","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",27,2026-04-17T07:53:47Z,,none,1
valley-wide-health-systems-inc-,https://www.linkedin.com/company/valley-wide-health-systems-inc-,"Valley-Wide Health Systems, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,직원 201-500명. 본사: CO Alamosa. 유형: 비영리. 설립: 1976. 전문 분야: Family ... HIGH PLAINS COMMUNITY HEALTH CENTER. 병원·보건. Colorado LAMAR · High Country ...,"site:linkedin.com/company/ ""community health center"" ""201-500""",26,2026-04-17T07:52:56Z,https://valley-widehealth.org,needs_review,1
zufall-health-center,https://www.linkedin.com/company/zufall-health-center,Zufall Health,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,... community health center that provides access to quality and ... 201-500 名員工. 總部: DoverNew Jersey. 類型: 非營利組織. 創立時間: 1990. 專長 ...,"site:linkedin.com/company/ ""community health center"" ""201-500""",9,2026-04-17T07:52:33Z,https://www.zufallhealth.org,ok,1
