linkedin_slug,linkedin_url,company_name,tier,tier_label,primary_keyword,size_bracket,description_snippet,discovery_query,page_found,first_seen_at,resolved_domain,resolve_status,matching_people_count
interior-community-health-center,https://www.linkedin.com/company/interior-community-health-center,INTERIOR COMMUNITY HEALTH CENTER,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,外部INTERIOR COMMUNITY HEALTH CENTER連結. 產業: 醫療保健. 公司規模: 11-50 名員工. 總部: FAIRBANKSAlaska. 類型: 非營利組織. 創立時間: 1995. 地點. 主要. 1606 23RD ...,"site:linkedin.com/company/ ""community health center"" ""11-50""",3,2026-04-17T07:51:04Z,https://www.interiorcommunityhealth.org,ok,6
idahocommunityhealthcenterassociation,https://www.linkedin.com/company/idahocommunityhealthcenterassociation,Idaho Community Health Center Association,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"11-50 employees. Headquarters: Boise, Idaho. Type: Nonprofit. Founded: 1983. Specialties: Community Health Center, Federally Qualified Health Center (FQHC), ...","site:linkedin.com/company/ ""community health center"" ""11-50""",24,2026-04-17T07:51:31Z,https://idahocommunity.com,parking,6
island-health-care-community-health-center,https://www.linkedin.com/company/island-health-care-community-health-center,Island Health Care,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,A Federally Qualified Community Health Center serving the island of Martha's Vineyard. ... 11-50 employees. Headquarters: Edgartown ...,"site:linkedin.com/company/ ""community health center"" ""11-50""",19,2026-04-17T07:51:24Z,https://islandhealthcare.org,parking,6
lawndale-christian-health-center,https://www.linkedin.com/company/lawndale-christian-health-center,Lawndale Christian Health Center,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,201-500 人. 总部: Chicago，Illinois. 类型: 非营利机构. 创立: 1984. 领域: Internal Medicine、OB / Prenatal Care、Pediatric Health和Family Practice. 地点. 主要.,"site:linkedin.com/company/ ""FQHC"" ""201-500""",5,2026-04-17T07:55:45Z,,none,6
medical-systems-inc-,https://www.linkedin.com/company/medical-systems-inc-,"Medical Systems, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"11–50 anställda. Huvudkontor: Peabody, MA. Typ: Privatägt företag. Grundat: 1983. Specialistområden: Electronic Healh Records, Community Health Center Solutions ...","site:linkedin.com/company/ ""community health center"" ""11-50""",6,2026-04-17T07:51:08Z,https://medical-systems.com,needs_review,6
nevada-primary-care-association,https://www.linkedin.com/company/nevada-primary-care-association,Nevada Primary Care Association,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,11-50 名員工. 總部: Carson CityNevada. 類型: 非營利組織. 創立時間: 1995. 地點. 主要 ... Community Health Center Advocate award to the well deserving Congresswoman ...,"site:linkedin.com/company/ ""community health center"" ""11-50""",10,2026-04-17T07:51:13Z,https://intermountainhealthcare.org/services/senior-primary-care-nevada,ok,6
oakstar-bank,https://www.linkedin.com/company/oakstar-bank,OakStar Bank,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"201–500 Beschäftigte. Hauptsitz: Springfield, Missouri. Art ... OakStar Bank is honored to partner with Ozarks Community Health Center (OCHC) as ...","site:linkedin.com/company/ ""community health center"" ""201-500""",20,2026-04-17T07:52:48Z,https://www.oakstarbank.com,ok,6
onecommunityhealthsacramento,https://www.linkedin.com/company/onecommunityhealthsacramento,One Community Health Sacramento,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"201-500 employees. Headquarters: Sacramento, CA. Type: Nonprofit. Founded: 1989 ... As a community health center serving historically underserved populations ...","site:linkedin.com/company/ ""community health center"" ""201-500""",6,2026-04-17T07:52:30Z,https://www.onecommunityhealth.org,needs_review,6
palmsmedicalgroup,https://www.linkedin.com/company/palmsmedicalgroup,PALMS MEDICAL GROUP,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"201-500 employees. Headquarters: High Springs, Florida. Type: Nonprofit. Founded: 1971. Specialties: Pharmacy , Non Profit, FQHC, Dental , Xray, Medical Clinic ...","site:linkedin.com/company/ ""FQHC"" ""201-500""",23,2026-04-17T07:56:07Z,https://palmsmg.org,ok,6
rxparadigm,https://www.linkedin.com/company/rxparadigm,RxParadigm,1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,About us ; Website: https://rxparadigm.com/. External link for RxParadigm ; Industry: Hospitals and Health Care ; Company size: 11-50 employees ; Headquarters ...,"site:linkedin.com/company/ ""FQHC"" ""11-50""",11,2026-04-17T07:54:39Z,https://rxparadigm.com,ok,6
true-health,https://www.linkedin.com/company/true-health,True Health,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"... community health center, has been serving low-income, uninsured ... 201-500 employés. Siège social: Sanford, FL. Type: Non lucratif. Fondée en: 1977. Domaines ...","site:linkedin.com/company/ ""community health center"" ""201-500""",3,2026-04-17T07:52:27Z,http://true-health.org,parking,6
ultra-violette-skincare,https://www.linkedin.com/company/ultra-violette-skincare,Ultra Violette Skincare,1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"11-50 employees. Headquarters: Cremorne, Victoria. Type: Privately Held ... Senior Software Engineer at FQHC 340B… Click here to view Ava ...","site:linkedin.com/company/ ""FQHC"" ""11-50""",17,2026-04-17T07:54:47Z,https://ultraviolette.org,parking,6
union-community-health-center,https://www.linkedin.com/company/union-community-health-center,Union Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"Union Community Health Center | 932 followers on LinkedIn. Caring For ... 201-500 employees. Headquarters: Bronx, New York. Type: Nonprofit. Founded: 1909 ...","site:linkedin.com/company/ ""community health center"" ""201-500""",18,2026-04-17T07:52:45Z,https://unioncommunity.com,parking,6
211nemi,https://www.linkedin.com/company/211nemi,211 Northeast Michigan,1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"11-50 employees. Headquarters: Midland. Type: Nonprofit. Specialties ... Bates, a rural OB-GYN and CEO of FQHC Thunder Bay Community Health Service, Inc.","site:linkedin.com/company/ ""FQHC"" ""11-50""",19,2026-04-17T07:54:50Z,https://2nm.com,thin_or_dead,5
advcarefqhc,https://www.linkedin.com/company/advcarefqhc,Advantage Care Health Centers,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"201–500 anställda. Huvudkontor: Brookville, New York. Typ: Privatägt ... About Community Health Center Association of New York State. CHCANYS is the ...","site:linkedin.com/company/ ""community health center"" ""201-500""",2,2026-04-17T07:52:26Z,https://advantage-care.com,parking,5
african-culture-connection,https://www.linkedin.com/company/african-culture-connection,African Culture Connection (ACC),1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"11–50 anställda. Huvudkontor: Omaha, Nebraska. Typ: Ideell organisation. Grundat: 2006. Specialistområden: Africa, Culture, Performing Arts, Program Provider ...","site:linkedin.com/company/ ""community health center"" ""11-50""",9,2026-04-17T07:51:12Z,https://africancultureconnection.org,ok,5
altruis,https://www.linkedin.com/company/altruis,Altruis,1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,"51-200 employees. Headquarters: Louisville, Kentucky. Type: Privately Held. Founded: 2003. Specialties: Revenue Cycle Management Services, Billing Services, ...","site:linkedin.com/company/ ""FQHC"" ""51-200""",10,2026-04-17T07:55:12Z,https://www.altruis.fr,needs_review,5
del-norte-clinics-inc.,https://www.linkedin.com/company/del-norte-clinics-inc.,Ampla Health,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"... (FQHC) offering comprehensive medical, dental, mental health, and specialty ... 201-500 pekerja. Ibu pejabat: Yuba City , CA. Jenis: Kebajikan. Ditubuhkan ...","site:linkedin.com/company/ ""FQHC"" ""201-500""",8,2026-04-17T07:55:48Z,https://www.amplahealth.org,ok,5
bartz-altadonna-community-health-center,https://www.linkedin.com/company/bartz-altadonna-community-health-center,Bartz-Altadonna Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"... Community Health Center is an Federally Qualified Health Center ... 51-200 employees. Headquarters: Lancaster, California. Type: Nonprofit. Founded ...","site:linkedin.com/company/ ""community health center"" ""51-200""",8,2026-04-17T07:51:51Z,,none,5
asc-communications,https://www.linkedin.com/company/asc-communications,Becker's Healthcare,1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,"51-200 dipendenti. Sede principale: Chicago, IL. Tipo: Società privata non ... Proud to represent the FQHC perspective in a room of larger health systems ...","site:linkedin.com/company/ ""FQHC"" ""51-200""",1,2026-04-17T07:55:01Z,https://www.asccommunications.com,title_mismatch,5
circle-the-city,https://www.linkedin.com/company/circle-the-city,Circle the City,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,Circle the City | 4.161 Follower:innen auf LinkedIn. Healing Homelessness. Together. | Circle the City is a Federally Qualified Health Center ... 201–500 ...,"site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",5,2026-04-17T07:53:55Z,https://circle-city.org,ok,5
cbha-wa,https://www.linkedin.com/company/cbha-wa,Columbia Basin Health Association,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"201–500 Beschäftigte. Hauptsitz: Othello, WA. Art: Nonprofit. Gegründet ... Moses Lake Community Health Center. Krankenhäuser und ...","site:linkedin.com/company/ ""community health center"" ""201-500""",29,2026-04-17T07:53:00Z,https://columbiabasin.com,parking,5
communitycarecooperative,https://www.linkedin.com/company/communitycarecooperative,Community Care Cooperative (C3),1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,C3 is the only national non-profit Accountable Care Organization founded and governed by its Federally Qualified Health Center partners. ... 201-500 employees.,"site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",19,2026-04-17T07:54:13Z,https://www.communitycarecooperative.org,ok,5
community-care-of-wv,https://www.linkedin.com/company/community-care-of-wv,Community Care of West Virginia,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"... community health center locations, fifty-three (53) school-based health ... 201-500 pekerja. Ibu pejabat: Buckhannon, West Virginia. Jenis: Kebajikan.","site:linkedin.com/company/ ""community health center"" ""201-500""",12,2026-04-17T07:52:37Z,https://www.community-care.com,needs_review,5
community-health-network_2,https://www.linkedin.com/company/community-health-network_2,Community Health Network,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"Currently, our membership includes 17 community health center organizations ... 11–50 Beschäftigte. Hauptsitz: Savannah, TN. Art: Nonprofit. Spezialgebiete ...","site:linkedin.com/company/ ""community health center"" ""11-50""",8,2026-04-17T07:51:11Z,https://community-health-network.org,parking,5
community-health-partnership,https://www.linkedin.com/company/community-health-partnership,Community Health Partnership,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"... Community Health Center, North East Medical Services (NEMS), Planned ... 11-50 employees. Headquarters: San Jose, California. Type: Nonprofit. Founded: 1993 ...","site:linkedin.com/company/ ""community health center"" ""11-50""",4,2026-04-17T07:51:05Z,https://tenchifresh.com/gallery.html,wrong_entity,5
confermed,https://www.linkedin.com/company/confermed,ConferMED,1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"11-50 employees. Headquarters: Middletown, Connecticut. Type: Nonprofit ... FQHC space. For centers looking at specialty access as part of ...","site:linkedin.com/company/ ""FQHC"" ""11-50""",15,2026-04-17T07:54:43Z,https://confermed.org,parking,5
cunningham-dalman-p.c.,https://www.linkedin.com/company/cunningham-dalman-p.c.,"Cunningham Dalman, PC",1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"11-50 employés. Siège social: Holland, MI. Type: Société civile/Société ... Community Health Center and its mission to provide quality care for all. We're ...","site:linkedin.com/company/ ""community health center"" ""11-50""",16,2026-04-17T07:51:21Z,https://cunninghamdalman.com,ok,5
dc-primary-care-association,https://www.linkedin.com/company/dc-primary-care-association,DC Primary Care Association,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,11-50 名員工. 總部: WashingtonDistrict of Columbia. 類型: 非營利組織. 創立時間 ... Community Health Center movement: https://lnkd.in/gfqCUNNB #DCPCA ...,"site:linkedin.com/company/ ""community health center"" ""11-50""",8,2026-04-17T07:51:11Z,https://dcprimarycare.com,ok,5
enterprise-medical-recruiting,https://www.linkedin.com/company/enterprise-medical-recruiting,Enterprise Medical Recruiting,1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"11-50 employees. Headquarters: Dallas, Texas. Type: Self-Owned. Specialties ... FQHC facility Live Where Life Feels Balanced - Located in the heart of ...","site:linkedin.com/company/ ""FQHC"" ""11-50""",11,2026-04-17T07:54:39Z,https://www.enterprisemed.com,ok,5
esperanzahealthcenter,https://www.linkedin.com/company/esperanzahealthcenter,Esperanza Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"... community health center with three sites serving our north Philadelphia ... 201-500 employees. Headquarters: Philadelphia, Pennsylvania. Type: Nonprofit.","site:linkedin.com/company/ ""community health center"" ""201-500""",5,2026-04-17T07:52:29Z,https://esperanzahealth.com,ok,5
eyenuk-llc,https://www.linkedin.com/company/eyenuk-llc,"Eyenuk, Inc.",1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"11–50 сотрудников. Штаб-квартира: Los Angeles, CA. Тип: Частное ... FQHC for diabetic eye screening. Also see: https://lnkd.in/gQNedUrt.","site:linkedin.com/company/ ""FQHC"" ""11-50""",18,2026-04-17T07:54:48Z,https://www.eyenuk.com/us-en,needs_review,5
familyhealthcenterofmarshfieldinc,https://www.linkedin.com/company/familyhealthcenterofmarshfieldinc,Family Health Center,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"We are proud to be a Federally Qualified Health Center (FQHC) with 10 ... 201-500 employees. Headquarters: Marshfield, Wisconsin. Type: Nonprofit. Founded ...","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",4,2026-04-17T07:53:54Z,https://familyhealthcenter.org,ok,5
fulton-county-medical-center,https://www.linkedin.com/company/fulton-county-medical-center,Fulton County Medical Center,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"201–500 Beschäftigte. Hauptsitz: McConnellsburg, PA. Art: Nonprofit. Gegründet ... Sharon Community Health Center. Krankenhäuser und Gesundheitseinrichtungen.","site:linkedin.com/company/ ""community health center"" ""201-500""",2,2026-04-17T07:52:26Z,https://fulton-county.com,parking,5
hdm,https://www.linkedin.com/company/hdm,HDM,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"직원 11-50명. 본사: NE Omaha. 유형: 비상장기업. 설립: 1996. 전문 분야: HIPAA Compliance, Claim Editing & Submission Software, EHNAC Accredited Clearinghouse 및 ...","site:linkedin.com/company/ ""community health center"" ""11-50""",19,2026-04-17T07:51:24Z,https://hdm.org,parking,5
healthsource-of-ohio,https://www.linkedin.com/company/healthsource-of-ohio,HealthSource of Ohio,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"... Community Health Center that provides quality, patient-centered primary and preventative care. ... 201-500 dipendenti. Sede principale: Loveland, OH. Tipo: Non ...","site:linkedin.com/company/ ""community health center"" ""201-500""",1,2026-04-17T07:52:25Z,https://www.healthsourceofohio.org,ok,5
heart-city-health,https://www.linkedin.com/company/heart-city-health,Heart City Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"a non-profit, Federally Qualified Health Center (FQHC) in Elkhart ... 51-200 employees. Headquarters: Elkhart, IN. Type: Nonprofit. Founded ...","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",20,2026-04-17T07:53:36Z,https://www.heartcityhealth.org,ok,5
holyoke-health-center-inc-,https://www.linkedin.com/company/holyoke-health-center-inc-,"Holyoke Health Center, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"... Community Health Center located in Holyoke, MA. Founded in 1970 ... 201-500 medarbejdere. Hovedkvarter: Holyoke, MA. Type: Nonprofit.","site:linkedin.com/company/ ""community health center"" ""201-500""",14,2026-04-17T07:52:40Z,https://www.holyokehealth.com,needs_review,5
illinois-primary-health-care-association,https://www.linkedin.com/company/illinois-primary-health-care-association,Illinois Primary Health Care Association,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"... community health center sites across Illinois. We offer recruitment services ... 11-50 employees. Headquarters: Springfield, Illinois. Type: Nonprofit.","site:linkedin.com/company/ ""community health center"" ""11-50""",10,2026-04-17T07:51:13Z,https://illinoisprimary.com,parking,5
st.-james-healthcare-inc.,https://www.linkedin.com/company/st.-james-healthcare-inc.,Intermountain Health St. James Hospital,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"规模: 201-500 人. 总部: Butte，Montana. 类型: 非营利机构. 领域: Cancer ... We've donated $30,000 to the Southwest Montana Community Health Center to ...","site:linkedin.com/company/ ""community health center"" ""201-500""",20,2026-04-17T07:52:48Z,https://intermountainhealthcare.org,needs_review,5
lantis-enterprises,https://www.linkedin.com/company/lantis-enterprises,"Lantis Enterprises, Inc",1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"11–50 Beschäftigte. Hauptsitz: Spearfish, South Dakota. Art: Privatunternehmen ... River Hills Community Health Center. Krankenhäuser und ...","site:linkedin.com/company/ ""community health center"" ""11-50""",13,2026-04-17T07:51:17Z,,none,5
legacymedicalcare,https://www.linkedin.com/company/legacymedicalcare,Legacy Medical Care,1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,"Legacy Medical Care is a Federally Qualified Health Center (FQHC) program ... 51-200 employees. Headquarters: Arlington Heights, Illinois. Type: Nonprofit.","site:linkedin.com/company/ ""FQHC"" ""51-200""",28,2026-04-17T07:55:35Z,https://www.legacymedicalcare.org,title_mismatch,5
mckinneymedical,https://www.linkedin.com/company/mckinneymedical,"McKinney Medical Center, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"51-200 pekerja. Ibu pejabat: Waycross, GA. Jenis: Kebajikan. Ditubuhkan: 1995 ... Sharon Community Health Center. Hospital dan Penjagaan Kesihatan. Sharon ...","site:linkedin.com/company/ ""community health center"" ""51-200""",11,2026-04-17T07:51:54Z,https://www.mckinneymedicalcenter.com,ok,5
midwest-medical-center,https://www.linkedin.com/company/midwest-medical-center,Midwest Medical Center,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"201-500 employés. Siège social: Galena, Illinois. Type: Non lucratif. Fondée en ... Community Health Center of Southeast Kansas. Hôpitaux et services de ...","site:linkedin.com/company/ ""community health center"" ""201-500""",2,2026-04-17T07:52:26Z,https://www.midwestmedicalcenter.org,ok,5
northeast-community-clinics,https://www.linkedin.com/company/northeast-community-clinics,Northeast Community Clinic,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"... (FQHC) with a mission to provide comprehensive and ... FQHC provider under the Affordable Care Act ... 201-500 pekerja. Ibu pejabat: Los Angeles, CA. Jenis ...","site:linkedin.com/company/ ""FQHC"" ""201-500""",3,2026-04-17T07:55:42Z,https://zemits.com/catalog/facial/microdermabrasion-machine,title_mismatch,5
pa-association-of-community-health-centers,https://www.linkedin.com/company/pa-association-of-community-health-centers,Pennsylvania Association of Community Health Centers,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"A Board of Directors composed of Community Health Center chief executive officers governs PACHC. ... 11-50 employees. Headquarters: Wormleysburg, PA. Type ...","site:linkedin.com/company/ ""community health center"" ""11-50""",1,2026-04-17T07:51:02Z,https://pennsylvaniaassociation.com,parking,5
peregrine-health,https://www.linkedin.com/company/peregrine-health,Peregrine Health,1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,"51-200 employees. Headquarters: Nashville, Tennessee. Type: Privately Held ... FQHC, Federally Qualified Health Centers, Integrated Behavioral Health ...","site:linkedin.com/company/ ""FQHC"" ""51-200""",9,2026-04-17T07:55:11Z,https://www.peregrinehealth.com,needs_review,5
practicemanagement,https://www.linkedin.com/company/practicemanagement,Practice Management,1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"11-50 employees. Headquarters: Schaumburg, IL. Type: Partnership. Founded ... Who on your FQHC team is monitoring payer policy updates? If the answer is ...","site:linkedin.com/company/ ""FQHC"" ""11-50""",9,2026-04-17T07:54:36Z,https://practicemanagement.org,parking,5
projectvida,https://www.linkedin.com/company/projectvida,Project Vida,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"201-500 employés. Siège social: El Paso, Texas. Type: Non lucratif ... #Match2026 #PsychiatryResidency #GME #CommunityHealth #FQHC # ...","site:linkedin.com/company/ ""FQHC"" ""201-500""",25,2026-04-17T07:56:09Z,https://projectvida.org,ok,5
sunrise-community-health,https://www.linkedin.com/company/sunrise-community-health,Sunrise Community Health,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"201-500 employees. Headquarters: Evans, Colorado. Type: Nonprofit. Founded: 1973 ... The bipartisan Community Health Center (CHC) Drug Pricing Protection Act ...","site:linkedin.com/company/ ""community health center"" ""201-500""",7,2026-04-17T07:52:31Z,https://www.sunrisecommunityhealth.org,title_mismatch,5
