linkedin_slug,linkedin_url,company_name,tier,tier_label,primary_keyword,size_bracket,description_snippet,discovery_query,page_found,first_seen_at,resolved_domain,resolve_status,matching_people_count
aaa-comprehensive-health-care,https://www.linkedin.com/company/aaa-comprehensive-health-care,AAA Comprehensive Health Care,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,Nov-50,"11-50 employees. Headquarters: North Hollywood, CA. Type: Self-Employed ... A Federally Qualified Health Center. Click here to view Patricia Ayala's profile ...","site:linkedin.com/company/ ""federally qualified health center"" ""11-50""",8,2026-04-17T07:53:11Z,,none,1
alexander-valley-healthcare,https://www.linkedin.com/company/alexander-valley-healthcare,Alexander Valley Healthcare,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"... federally qualified health center, which allows it to receive federal health ... 51 - 200 çalışan. Genel Merkez: Cloverdale, California. Türü: Kâr Amacı ...","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",1,2026-04-17T07:53:13Z,https://alexandervalleyhealthcare.org,needs_review,1
altruis,https://www.linkedin.com/company/altruis,Altruis,1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,"51-200 employees. Headquarters: Louisville, Kentucky. Type: Privately Held. Founded: 2003. Specialties: Revenue Cycle Management Services, Billing Services, ...","site:linkedin.com/company/ ""FQHC"" ""51-200""",10,2026-04-17T07:55:12Z,https://www.altruis.fr,needs_review,1
amistad-community-health-center,https://www.linkedin.com/company/amistad-community-health-center,Amistad Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"Amistad Community Health Center | 288 followers on LinkedIn. ""Empowering ... 51-200 employees. Headquarters: Corpus Christi, Texas. Type: Nonprofit. Founded ...","site:linkedin.com/company/ ""community health center"" ""51-200""",18,2026-04-17T07:52:03Z,,none,1
anchorage-neighborhood-health-center-inc.,https://www.linkedin.com/company/anchorage-neighborhood-health-center-inc.,"Anchorage Neighborhood Health Center, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"201-500 employees. Headquarters: Anchorage, AK. Type: Nonprofit. Founded: 1974 ... community health center to meet that trust with compassion and respect. We ...","site:linkedin.com/company/ ""community health center"" ""201-500""",12,2026-04-17T07:52:37Z,https://anchorageneighborhood.com,parking,1
aria-community-health-center,https://www.linkedin.com/company/aria-community-health-center,Aria Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"Aria Community Health Center | 352 followers on LinkedIn. Aria Community Health Center ... 201-500 employees. Headquarters: Lemoore, California. Type: Public ...","site:linkedin.com/company/ ""community health center"" ""201-500""",27,2026-04-17T07:52:58Z,https://ariacommunityhealthcenter.org,parking,1
asian-american-health-coalition-dba-hope-clinic,https://www.linkedin.com/company/asian-american-health-coalition-dba-hope-clinic,Asian American Health Coalition,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,51-200 人. 总部: Houston，TX. 类型: 非营利机构. 创立: 2002. 领域: Pediatrics、Family ... Spring Branch Community Health Center. 医院和医疗保健. Houston，Texas ...,"site:linkedin.com/company/ ""community health center"" ""51-200""",11,2026-04-17T07:51:54Z,https://asianamericanhealth.com,wrong_entity,1
avenue-360-health-and-wellness,https://www.linkedin.com/company/avenue-360-health-and-wellness,Avenue 360 Health and Wellness,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"51–200 anställda. Huvudkontor: Houston ... Liknande sidor. Legacy Community Health. Sjukhus och hälsovård. Houston, TX. Spring Branch Community Health Center.","site:linkedin.com/company/ ""community health center"" ""51-200""",3,2026-04-17T07:51:45Z,,none,1
avivahealthor,https://www.linkedin.com/company/avivahealthor,Aviva Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"Aviva Health, formerly known as Umpqua Community Health Center, is a Federally Qualified Health Center ... 201-500 employees. Headquarters: Roseburg, Oregon.","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",2,2026-04-17T07:53:52Z,https://www.avivahealth.com,bad_content,1
azahealthfl,https://www.linkedin.com/company/azahealthfl,Aza Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"... federally qualified health center (FQHC), Aza Health operates in areas ... 201-500 employees. Headquarters: Palatka, Florida. Type: Nonprofit. Founded: 1977.","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",19,2026-04-17T07:54:13Z,https://azahealth.org,wrong_entity,1
berks-community-health-center,https://www.linkedin.com/company/berks-community-health-center,BERKS COMMUNITY HEALTH CENTER,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"BERKS COMMUNITY HEALTH CENTER | 724 Follower:innen auf LinkedIn. We ... 51–200 Beschäftigte. Hauptsitz: READING, Pennsylvania. Art: Nonprofit. Gegründet ...","site:linkedin.com/company/ ""community health center"" ""51-200""",9,2026-04-17T07:51:52Z,https://berkscommunity.com,parking,1
asc-communications,https://www.linkedin.com/company/asc-communications,Becker's Healthcare,1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,"51-200 dipendenti. Sede principale: Chicago, IL. Tipo: Società privata non ... Proud to represent the FQHC perspective in a room of larger health systems ...","site:linkedin.com/company/ ""FQHC"" ""51-200""",1,2026-04-17T07:55:01Z,https://www.asccommunications.com,title_mismatch,1
blue-ridge-medical-center,https://www.linkedin.com/company/blue-ridge-medical-center,Blue Ridge Medical Center,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"51–200 Beschäftigte. Hauptsitz: Arrington, VA. Art: Nonprofit. Gegründet: 1985 ... GREATER PRINCE WILLIAM AREA COMMUNITY HEALTH CENTER INC. Krankenhäuser und ...","site:linkedin.com/company/ ""community health center"" ""51-200""",9,2026-04-17T07:51:52Z,https://blueridgemedicalcenter.com,parking,1
bond-community-health-ctr,https://www.linkedin.com/company/bond-community-health-ctr,"Bond Community Health Center, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"קישור חיצוני עבור Bond Community Health Center, Inc. תעשייה: Hospitals and Health Care. גודל החברה: 51-200 עובדים. משרדים ראשיים: Tallahassee, Florida. סוג ...","site:linkedin.com/company/ ""community health center"" ""51-200""",31,2026-04-17T07:52:24Z,https://www.hugedomains.com/domain_profile.cfm?d=bondcommunity.com,parking,1
bucksport-regional-health-ctr,https://www.linkedin.com/company/bucksport-regional-health-ctr,Bucksport Regional Health Center,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"Bucksport Regional Health Center is a Federally Qualified Health Center and ... 51-200 employees. Headquarters: Bucksport, Maine. Type: Public Company.","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",11,2026-04-17T07:53:25Z,https://www.bucksportrhc.com,ok,1
